token_id,enterer,utterance_id,irrel,embed,compar,neg_pres,neg_even,sent_neg,position,focus,likely,comment,embed_assoc,part_of_speech.u,stem.u,speaker_id,utterance_order,transcript_id,gloss,num_tokens,stem.t,part_of_speech.t,speaker_code,speaker_name,speaker_role,target_child_age,target_child_name,target_child_sex,type,media_end,media_start,media_unit,num_morphemes,corpus_name
13127385,Yadav,3308541,1,0,0,No,N/A,No,Pre-Subject,Subject,Most-likely,,0,adv,even,5008,297,7547,oh you're gonna make it even in each cup,9,oh you gonna make it even in each cup,co pro:per mod:aux v pro:per adv prep qn n,MOT,NA,Mother,2330.25,Laura,female,question,561.073,558.496,s,10,Braunwald
13128183,Yadav,3308814,0,0,0,Yes,Neg-Even,Yes,Post-Subject,Verb,Most-likely,,0,adv,even,5006,1225,7502,maybe he won't even cry see,6,maybe he will even cry see,adv pro:sub mod adv v v,SIS,NA,Sister,1275.9375,Laura,female,question,2362.851,2360.309,s,7,Braunwald
13128473,Yadav,3308925,0,0,0,Yes,Neg-Even,Yes,Post-Subject,Verb,Most-likely,,0,adv,even,5006,1230,7502,she won't even cry,4,she will even cry,pro:sub mod adv v,SIS,NA,Sister,1275.9375,Laura,female,declarative,2368.668,2366.938,s,5,Braunwald
13128881,Yadav,3309076,0,0,0,No,N/A,No,Post-Subject,Object,Least-likely,,0,adv,even,5006,1270,7505,he even makes a noise,5,he even make a noise,pro:sub adv v det:art n,SIS,NA,Sister,1296.375,Laura,female,declarative,2375.154,2373.808,s,6,Braunwald
13129375,Yadav,3309237,0,0,1,No,N/A,No,Post-Subject,Adjunct,Least-likely,,0,adv,even,5008,328,7547,even this taller one,4,even this tall one,adv pro:dem adj pro:indef,MOT,NA,Mother,2330.25,Laura,female,question,612.662,611.245,s,5,Braunwald
13131032,Yadav,3309775,0,0,0,No,N/A,No,Post-Subject,Verb,Least-likely,,0,adv,even,5006,1321,7505,thanks for even wanting to offer,6,thank for even want to offer,v prep adv part prep n,SIS,NA,Sister,1296.375,Laura,female,declarative,2458.049,2454.786,s,8,Braunwald
13138444,Yadav,3312210,0,0,0,No,N/A,No,Post-Subject,Adjunct,Least-likely,,0,adv,even,5008,554,7542,she loved the tingling music even though it made her shiver,11,she love the tingle music even though it make her shiver,pro:sub v det:art part n adv adv pro:per v det:poss n,MOT,NA,Mother,1692.0625,Laura,female,declarative,988.902,985.187,s,14,Braunwald
13141013,Yadav,3313007,0,0,0,No,N/A,No,Pre-Subject,Subject,Least-likely,,0,adv,even,5008,588,7542,even the xxx sang,4,even the sing,adv det:art v,MOT,NA,Mother,1692.0625,Laura,female,declarative,1062.633,1060.799,s,4,Braunwald
13143045,Yadav,3313577,0,0,1,No,N/A,No,Post-Subject,Adjunct,Least-likely,,0,adv,even,5008,616,7542,a harp is even bigger than I am,8,a harp be even big than I be,det:art n aux adv adj prep pro:sub aux,MOT,NA,Mother,1692.0625,Laura,female,declarative,1125.371,1123.537,s,11,Braunwald
13144440,Yadav,3314001,0,0,0,No,N/A,No,Post-Subject,Adjunct,Least-likely,,0,adv,even,5006,1657,7507,xxx two hours and even with your bib on,9,two hour and even with your bib on,det:num n coord adv prep det:poss n adv,SIS,NA,Sister,1297.375,Laura,female,declarative,3098.9,3094.767,s,9,Braunwald
13144478,Yadav,3314008,0,0,0,No,N/A,No,Post-Subject,Verb,Least-likely,,0,v,even,5006,1524,7502,and sometimes he even has to babysit Shaunathon because Shaunathon will do bad things,14,and sometimes he even have to Shaunathon because Shaunathon will do bad thing,coord adv pro:sub v aux inf n:prop conj n:prop mod v adj n,SIS,NA,Sister,1275.9375,Laura,female,declarative,2848.213,2843.511,s,15,Braunwald
13145097,Yadav,3314189,0,0,0,No,N/A,No,Post-Subject,Object,Least-likely,,0,adv,even,5008,19,7721,I even dumped my purse,5,I even dump my purse,pro:sub adv part det:poss n,MOT,NA,Mother,635.75,Laura,female,declarative,NA,NA,NA,6,Braunwald
